"label_id"	"chaetae_cells"
10124	1
10126	1
10223	1
10464	1
10794	1
11084	1
11104	1
11614	1
17144	1
17357	1
17720	1
17901	1
24611	1
24769	1
26046	1
26159	1
26439	1
27298	1
27318	1
9649	2
10102	2
10459	2
10871	2
10986	2
17872	2
24939	2
25637	2
26809	2
27334	2
27509	2
27735	2
16850	1
27512	1
