label_id	edu3to4at6dpf	edu4to5at6dpf	edu5to6at6dpf	edu42to48	label_id_nucleus	shape_volume_in_microns_nucleus	shape_extent_nucleus	shape_equiv_diameter_nucleus	shape_major_axis_nucleus	shape_minor_axis_nucleus	shape_surface_area_nucleus	shape_sphericity_nucleus	shape_max_radius_nucleus	intensity_mean_nucleus	intensity_st_dev_nucleus	intensity_median_nucleus	intensity_iqr_nucleus	intensity_total_nucleus	intensity_mean_25_nucleus	intensity_st_dev_25_nucleus	intensity_median_25_nucleus	intensity_iqr_25_nucleus	intensity_total_25_nucleus	intensity_mean_50_nucleus	intensity_st_dev_50_nucleus	intensity_median_50_nucleus	intensity_iqr_50_nucleus	intensity_total_50_nucleus	intensity_mean_75_nucleus	intensity_st_dev_75_nucleus	intensity_median_75_nucleus	intensity_iqr_75_nucleus	intensity_total_75_nucleus	intensity_mean_100_nucleus	intensity_st_dev_100_nucleus	intensity_median_100_nucleus	intensity_iqr_100_nucleus	intensity_total_100_nucleus	texture_hara1_nucleus	texture_hara2_nucleus	texture_hara3_nucleus	texture_hara4_nucleus	texture_hara5_nucleus	texture_hara6_nucleus	texture_hara7_nucleus	texture_hara8_nucleus	texture_hara9_nucleus	texture_hara10_nucleus	texture_hara11_nucleus	texture_hara12_nucleus	texture_hara13_nucleus	shape_volume_in_microns_het_nucleus	shape_extent_het_nucleus	shape_equiv_diameter_het_nucleus	shape_major_axis_het_nucleus	shape_minor_axis_het_nucleus	shape_surface_area_het_nucleus	shape_sphericity_het_nucleus	shape_max_radius_het_nucleus	shape_edt_mean_het_nucleus	shape_edt_stdev_het_nucleus	shape_edt_median_het_nucleus	shape_edt_iqr_het_nucleus	shape_percent_25_het_nucleus	shape_percent_50_het_nucleus	shape_percent_75_het_nucleus	shape_percent_100_het_nucleus	intensity_mean_het_nucleus	intensity_st_dev_het_nucleus	intensity_median_het_nucleus	intensity_iqr_het_nucleus	intensity_total_het_nucleus	texture_hara1_het_nucleus	texture_hara2_het_nucleus	texture_hara3_het_nucleus	texture_hara4_het_nucleus	texture_hara5_het_nucleus	texture_hara6_het_nucleus	texture_hara7_het_nucleus	texture_hara8_het_nucleus	texture_hara9_het_nucleus	texture_hara10_het_nucleus	texture_hara11_het_nucleus	texture_hara12_het_nucleus	texture_hara13_het_nucleus	shape_volume_in_microns_eu_nucleus	shape_extent_eu_nucleus	shape_equiv_diameter_eu_nucleus	shape_major_axis_eu_nucleus	shape_minor_axis_eu_nucleus	shape_surface_area_eu_nucleus	shape_sphericity_eu_nucleus	shape_max_radius_eu_nucleus	shape_edt_mean_eu_nucleus	shape_edt_stdev_eu_nucleus	shape_edt_median_eu_nucleus	shape_edt_iqr_eu_nucleus	shape_percent_25_eu_nucleus	shape_percent_50_eu_nucleus	shape_percent_75_eu_nucleus	shape_percent_100_eu_nucleus	intensity_mean_eu_nucleus	intensity_st_dev_eu_nucleus	intensity_median_eu_nucleus	intensity_iqr_eu_nucleus	intensity_total_eu_nucleus	texture_hara1_eu_nucleus	texture_hara2_eu_nucleus	texture_hara3_eu_nucleus	texture_hara4_eu_nucleus	texture_hara5_eu_nucleus	texture_hara6_eu_nucleus	texture_hara7_eu_nucleus	texture_hara8_eu_nucleus	texture_hara9_eu_nucleus	texture_hara10_eu_nucleus	texture_hara11_eu_nucleus	texture_hara12_eu_nucleus	texture_hara13_eu_nucleus	shape_volume_in_microns_cell	shape_extent_cell	shape_equiv_diameter_cell	shape_major_axis_cell	shape_minor_axis_cell	shape_surface_area_cell	shape_sphericity_cell	shape_max_radius_cell	intensity_mean_cell	intensity_st_dev_cell	intensity_median_cell	intensity_iqr_cell	intensity_total_cell	texture_hara1_cell	texture_hara2_cell	texture_hara3_cell	texture_hara4_cell	texture_hara5_cell	texture_hara6_cell	texture_hara7_cell	texture_hara8_cell	texture_hara9_cell	texture_hara10_cell	texture_hara11_cell	texture_hara12_cell	texture_hara13_cell
1501.0	1.0	1.0	0.32436976	0.9042017	1192.0	59.3952	0.39681623438261626	56.172564413363	86.17655105301733	63.546693273656	88.27499951923983	0.5800185722961609	1.5615377036754508	168.30607187112759	9.583973110339825	167.0	10.0	15619645.0	168.4232858795714	10.778154207817247	168.0	6.0	6696173.0	170.42506579172218	8.345565628528865	168.0	12.0	4986467.0	166.12914158826626	8.114540418679839	163.0	10.0	2842968.0	163.90067415730337	7.7267291990078375	161.0	7.0	1094037.0	0.002348849937142675	94.69508371726918	0.4251621120606587	82.53363938731546	0.19900950164115755	337.37224111383614	235.4394738319903	5.873982812099662	9.691735723063974	0.0003633705473361385	4.17092172718502	-0.07135249080680911	0.7066452081531579	37.04150418735584	0.2599281221922731	47.98733173897297	86.942672349511	63.816378724411486	261.71814181447917	0.008656216649212341	0.466946534449025	0.34956043553460603	0.2477135746907741	0.2989876692223813	0.4032770594641909	0.6326958013726282	0.5628171718557126	0.6701978227788833	0.7372995654128578	163.60267888005532	8.318893684395645	165.0	7.0	9466051.0	0.005021153618203212	64.87928677404858	0.3158745622060607	47.927375570057144	0.2698773201033776	327.1138196661812	126.83021550617279	5.267312519793816	8.419564545896863	0.0006019103427821482	3.5395813180340463	-0.08840909257258983	0.7324063798027104	22.211458482203774	0.16116220735785952	40.465920425595115	84.37743730014539	62.672198915024794	212.33945942987324	0.0058279310474189105	0.4771418450009565	0.3341518940477341	0.2100900111515467	0.2863888530513209	0.2952524433050707	0.3673041986273719	0.4371828281442875	0.3298021772211167	0.2627004345871422	174.83986165153482	9.828895393035687	175.0	13.0	6066069.0	0.0013554366371861786	116.9162639746407	0.2296733649038624	75.8069783165086	0.1269910681627598	353.87473667887133	186.3116492914168	5.744228477302254	9.995723427101657	0.0002481997770082046	4.4708481714055095	-0.027516718876369653	0.490137043163338	93.55211103749669	0.19474989477946308	65.3634643578159	105.963258323789	77.99723143222366	146.61060397003826	0.31409672548972584	1.841465239652727	158.9396031830996	22.264661966427845	163.0	37.0	8907929.0	0.0003475186483835248	685.8795345539583	0.2812876648346295	477.22401424759386	0.07160819098172955	323.7047504273163	1223.0165224364262	7.044114630048963	12.213175538217461	9.291865496396298e-05	5.722566194104514	-0.034040611751421285	0.5861410842724326
1502.0	1.0	1.0	0.6641791	0.81791043	1196.0	62.148480000000006	0.4343666129898014	57.027452530268214	86.12965370335147	67.01439700764037	95.50608804023257	0.5014414450597977	1.643411086733931	169.78615341839418	10.666805009564769	169.0	11.0	16487424.0	169.65729689775858	11.964956792820953	170.0	7.0	7804066.0	172.51685213096886	9.227954553744453	169.0	15.0	5379593.0	166.72371866816312	8.188356552384036	164.0	10.0	2673915.0	162.04013377926418	5.46358101921212	161.0	4.0	629850.0	0.002084750641612516	115.21845800646153	0.4263730650367342	100.56450592188385	0.1883373369426044	340.622582263275	287.0395656810624	5.996361449708937	9.900642561541938	0.0003329362702607911	4.2931958263358885	-0.0714516159616286	0.7131104297121834	35.06587193844156	0.257595139110969	47.118553016364935	84.44975038444005	67.45238733355244	273.8670650360026	0.006770211489633065	0.4750310094045445	0.3227937396655565	0.2364099204695992	0.2724374291671747	0.3917602780100934	0.5779460943901845	0.4904707233065442	0.6819208674885432	0.853632190116122	165.23246430788333	6.468628610097247	166.0	7.0	9050443.0	0.005510056540833849	41.20273234655637	0.3322178736189629	30.909106561830693	0.27802835673206777	329.8023623668087	82.4336939007458	5.095067074070999	8.173279257375054	0.0006432508868797371	3.3726666457011425	-0.08606914720148998	0.7204704506325251	25.646088104830195	0.1916452983275288	42.452581807228	86.08747482757751	64.35538678353106	211.0149387784564	0.007916897581607388	0.5366914382358088	0.2956339071196695	0.17341393117553894	0.266907879935596	0.2392320949180112	0.4220539056098155	0.5095292766934558	0.3180791325114568	0.14636780988387793	177.07416375436844	9.317986862428585	178.0	14.0	7093591.0	0.0012894197939223812	122.8345889711986	0.21218011391398434	77.96513308981761	0.1237201088124119	357.8313008673441	189.02594338807774	5.770083254458567	10.060910220440114	0.00024089831182551162	4.504664893770607	-0.023310528194461874	0.4562937155560946	107.62917042818464	0.16183623678630665	68.4900046994263	110.6867036583613	83.87253087077579	175.15920476610958	0.2437886401209937	1.9330032490782991	157.9485841167311	23.80501803401923	162.0	41.0	10954682.0	0.00039414575050134715	758.8098060774402	0.2893083781772543	534.2788246569878	0.07055498308668967	322.0850428124238	1378.305492550515	7.07593995005564	12.230950586232678	8.796345355481243e-05	5.786643936318388	-0.02925274159329821	0.5480680492280374
1523.0	1.0	0.9295154	0.56828195	0.19970632	27.0	16.244480000000006	0.20787878787878789	36.46216112113248	96.376327907391	37.12254417087581	67.51904144535798	0.0969583456568306	0.758946638440411	142.3959498857458	10.908279983694653	143.0	14.0	3614294.0	143.09019664755826	10.982491245893115	143.0	14.0	1971926.0	143.38668326073432	10.189636712960652	143.0	14.0	1152112.0	138.24462968900292	10.664764725576683	139.0	11.0	431185.0	132.14988814317672	10.97128216873337	135.0	12.0	59071.0	0.0012269610371697973	125.22624965924454	0.4650256186034648	117.00767580447709	0.16755408582268982	284.35553446301634	342.80445355866686	6.198067950735142	10.303434764914996	0.00031358866305454265	4.455337231555898	-0.08647234598373409	0.7728734214901121	15.308269065469284	0.20966610549943884	35.744214687235214	95.84672036610634	37.08894805969045	79.02001827656325	0.053714701922446026	0.5126439683596002	0.291690813142717	0.17766601542472826	0.2485950850597797	0.25317265872725797	0.917931585445566	0.9780740002491592	0.969220904135941	0.8926174496644296	142.42489126798262	10.442419474735596	142.0	14.0	3405664.0	0.0013132688970407028	109.66874366754858	0.477615986950431	104.91883806334783	0.17285367714857555	284.5419300939922	310.00660858583154	6.130104622579768	10.187625134453603	0.00032953440721872785	4.386309935239236	-0.08720192094613398	0.7714557713553885	0.928278276385516	0.013869758187940008	14.042888900813788	99.20073143965764	36.060876759691894	26.326868480892344	0.00534085929014435	0.12806975530731482	0.2181266368755589	0.1862690501514251	0.13174134959787673	0.1302923815523455	0.08206841455443388	0.021925999750840912	0.030779095864058994	0.10738255033557048	138.46344827586208	17.024375278600832	140.0	21.0	200772.0	0.005676745352280032	498.1209584124362	0.2689671800269086	338.52975774860835	0.07523218481892965	272.6521027083583	855.9980725819959	5.818612632882192	7.6618401678767665	0.00019506316607455096	4.9509027870365205	-0.6477721746806744	0.9994841253066158	113.82507276158262	0.21180780440414507	69.77981985244168	178.00333367556468	60.28793606518557	200.0227237057457	0.18310079770655585	1.6196282781589446	140.7499165887071	12.711992976860785	143.0	15.0	21514610.0	0.0009681065752516078	213.0840614750797	0.244087534381504	141.32142199945184	0.12713404092908553	283.38135856409224	352.2016265227263	6.2133359709009195	10.795540156912113	0.00019473456196683947	4.878615807852869	-0.02996397307774521	0.5187406925718236
1526.0	1.0	1.0	0.8810484000000001	0.9032258	1001.0	49.5392	0.3475440014367816	52.87578129124708	75.18998566001537	64.72173397271786	84.31963060661997	0.4629821693488839	1.7398850536745236	162.06478909631159	12.15057335368288	159.0	16.0	12544625.0	160.4494532470431	11.418441145617946	158.0	9.0	6470766.0	166.5055588762702	12.393223528270118	166.0	22.0	4178457.0	157.53833217924625	10.9928006201506	152.0	17.0	1592555.0	161.7772435897436	12.366814191896932	161.0	23.0	302847.0	0.0012892195949553073	168.83844892749985	0.4080331446627165	142.51968485706675	0.15119112692717004	325.6408212075931	401.2402905007621	6.283507551826072	10.540395221422981	0.00023512592641791358	4.692776265695327	-0.05255320419678065	0.6468181872784584	30.420639405025486	0.22428009760748388	44.93863157859787	77.5982636269763	66.70536797976979	234.48563762583885	0.008117836658691641	0.4866919109170821	0.25510059195842794	0.2098832860665696	0.17356541639202622	0.32204153412312386	0.7210887738853503	0.4293177014794433	0.6692056583242655	0.5368589743589743	155.5562944568374	9.020556925597628	156.0	7.0	7391724.0	0.003771708251133622	101.5050500666678	0.2576223532912398	68.42249642136953	0.2360427599826607	310.37081697453135	172.18493561881317	5.622303528053185	9.215151222862763	0.0004411134144706735	4.0888193030284015	-0.07608676270590134	0.7162689493316015	19.03418600930632	0.1554736319188433	38.43632296598094	71.05533709319033	61.00201093208682	163.91388073902834	0.009304087670679202	0.3715342512819255	0.3218392374109965	0.16892211829518675	0.2908122965397653	0.20173444162365767	0.2789112261146497	0.5706822985205566	0.3307943416757345	0.4631410256410257	171.79278218754203	10.93519296332772	173.0	15.0	5107743.0	0.0009782315354939237	153.80131342593253	0.2222711179499572	98.90642114992498	0.10343815589005746	346.58371004858185	241.82437117376182	5.953365676961941	10.418556797064475	0.00020645783093861265	4.701874994661694	-0.02503169195096199	0.4805688421337661	74.91321938357787	0.11986793611793613	60.69739028752206	99.237921076564	75.31748724205409	144.2187155520837	0.21159452490257696	1.8632041590717288	148.45903983144376	23.69443943459125	146.0	33.0	5918765.0	0.00023102308178274858	679.8943734660594	0.443957806624507	611.309959509917	0.06657016609564065	304.2367936407374	1765.345464573607	7.310279882596964	12.54651635853578	8.591020462335077e-05	5.746413766815167	-0.06745993178806424	0.7633054043113661
1530.0	1.0	1.0	0.88837206	0.99224806	1002.0	65.55199999999999	0.427540406064249	58.05003021236303	79.45830933807369	68.37551517067493	89.61236826478876	0.6753367784770077	2.149697653159625	168.40444227483525	11.00813597480892	166.0	14.0	17248825.0	168.612249063045	10.425655865141005	166.0	11.0	9087863.0	171.38764803819936	10.8482917588161	172.0	18.0	5455783.0	161.52853864907505	10.204502727849018	158.0	15.0	2252677.0	164.66593886462886	11.62682944672201	164.0	21.0	452502.0	0.0011893205041306387	135.38922820214387	0.43068510223428136	118.81929743987403	0.14786398779403034	337.76692548880266	339.88796155734656	6.205533925907925	10.489453760510148	0.0002474404467019899	4.559758811138419	-0.05481623798887896	0.6581846316029024	33.11584736611722	0.2267379679144385	46.22841694768764	81.93357798974554	71.59605930631895	267.85260590327306	0.0064541118895832745	0.5063615072959271	0.2518005808825329	0.22205308986680514	0.14532693493097398	0.3638563797981553	0.6043850929347112	0.2963147565496402	0.6400200386459599	0.3817321688500728	160.6148507578101	9.509093511565077	163.0	9.0	8308285.0	0.003521915481958002	100.7452574160067	0.3587042615287262	79.80157432593506	0.23678257303726	320.3194264151453	218.46103988773223	5.6495335812154135	9.155657224429989	0.0004934185259297915	3.9186199371438417	-0.10132452620687553	0.7869004729177532	32.27271461439328	0.2322231435415515	45.83271278898663	76.60511948780845	64.85634523098425	191.30875652300472	0.01682359566126066	0.4381891903145132	0.3143697469864445	0.1757794437209418	0.2791209347358522	0.20800266949108792	0.3956149070652887	0.7036852434503598	0.3599799613540399	0.6182678311499272	175.36789589573704	9.749281077911656	176.0	13.0	8840471.0	0.000981496653933425	149.9592485989669	0.1662692544916384	89.93283993038773	0.10275520074576758	352.53169320602507	209.7721111225804	5.88639085791854	10.410340243120839	0.00020474238644600828	4.681237889521149	-0.014407198261168569	0.37225544435981855	100.20803544624712	0.2432774153463809	66.8782213508078	104.67141849707468	73.53321203767874	145.60363531390374	0.3679093412459549	2.319651782334144	158.71532900560638	23.742200587053684	161.0	38.0	8606180.0	0.0002684531479626623	644.6933041836686	0.3759648862168548	517.0091409561394	0.06946931817040794	324.9234920497008	1423.343259640892	7.220139888882282	12.442626733202815	8.846495755597777e-05	5.707019382645488	-0.049616026225738206	0.6834831727916129
1543.0	1.0	0.9862779	0.38936535	1.0	1279.0	57.66656	0.3263218890337534	55.62224106187671	95.0559695218472	56.33560343892144	94.24112680753208	0.449344109762536	1.4338758663147937	161.43073559442422	11.799751113996791	159.0	16.0	14545555.0	159.4491096721975	11.662838120092866	157.0	11.0	6303980.0	165.6021754945093	11.18716736247882	166.0	19.0	4780438.0	160.11785063752276	11.477414404094384	157.0	20.0	2637141.0	157.52169757216598	10.882624737916153	154.0	18.0	823996.0	0.0010161920939032122	171.92676621622715	0.35844029040703673	133.9650246915732	0.13133288484890296	324.1716408001912	363.9333325500775	6.231305513533942	10.623831180985574	0.00021115480388284066	4.739221376820075	-0.038646144463662914	0.5704384137562383	32.033923030192035	0.18986006556580864	45.71939135434685	95.09747204740887	59.45637626083384	276.02879512129	0.005518352767070239	0.4866919109170821	0.2969840604863491	0.2408611997947513	0.20116817645854806	0.3906300363800713	0.7254427931596091	0.3405341983573746	0.5295331754993019	0.5620340279105334	154.32988928414406	9.364286734905761	155.0	7.0	7722359.0	0.003307103113225925	108.60146564341198	0.2609251834709555	73.80790476607245	0.2142111714055655	307.67846635302413	186.63015342086703	5.640303787382362	9.324178835509183	0.0004061887534247104	4.175675571028419	-0.0604045068632753	0.6590561167612109	25.569265075060354	0.15593765617191405	42.410150412830355	94.76085819013294	52.01600357497076	188.990762654664	0.01095385863149572	0.4099256835500241	0.38893960253917664	0.1891484191250199	0.3539650741379332	0.25736128423909577	0.2745572068403909	0.6594658016426255	0.4704668245006981	0.4379659720894665	169.55856284426642	10.2307136501012	170.0	14.0	6772169.0	0.0009189850888772762	165.14000018462798	0.15174145498012662	97.35649458292448	0.09876190360391687	340.64867599748237	224.2859781470716	5.92983760970824	10.487026371510687	0.00019485424643912968	4.750292776966712	-0.016750545905145298	0.40148850405978703	95.53487656116462	0.11065018600032606	65.82201613518913	137.35331465109346	61.84154262034517	164.91245536885015	0.2301526041902025	1.6097908857554188	144.72701332706703	19.641483578092267	145.0	32.0	8622546.0	0.00028339711191621096	612.4390312748911	0.2076450489913512	386.3009857936895	0.06046285279451308	293.1799426819658	932.764911899856	6.9329529698039485	12.239342318561597	8.816162222612033e-05	5.682591056622982	-0.029635791000377838	0.5541796868502326
1544.0	1.0	1.0	0.36475409999999997	1.0	1005.0	54.30016000000001	0.3621787757192863	54.51811578560881	86.32058645604721	64.84256392022837	88.3069299181253	0.4842506730641538	1.5420765220960988	162.09657724765452	11.263550786883586	160.0	14.0	13752922.0	160.26688397677495	11.258124471109431	159.0	7.0	6293360.0	166.2347691532621	10.340568578407296	167.0	18.0	4619498.0	159.64885389813975	11.007430917499011	156.0	19.0	2291440.0	159.76237623762376	10.301371670910749	160.0	19.0	548624.0	0.0012436549428660561	149.46666120957778	0.3665633225218943	117.99254557894443	0.15319095133633415	325.50070842503527	322.5035211062025	6.1603573313739775	10.424375218907725	0.00024998366408213564	4.601899053703537	-0.048591598093237424	0.6207488726799638	31.78488837535481	0.2226652195752009	45.600607427984066	88.91913168769554	67.67231744828223	245.67030454754558	0.007706119900786255	0.5310455959415399	0.2712844026851005	0.2200459316399002	0.18704848211770195	0.3391645091496187	0.7677733623894373	0.3567280808660119	0.5723055458667596	0.4603930911256701	155.49686801345445	10.499773179550708	157.0	7.0	7720264.0	0.0034022033077162023	135.79109144378936	0.27352113590225063	95.77985100734301	0.2335505497668561	310.4734145363513	247.3283125855983	5.7168276747723725	9.334913554816824	0.0004560734614282392	4.137721692461627	-0.087655403887022	0.7520077632404563	22.372786844720434	0.16479925303454715	40.56365614309707	82.40012138757443	60.38772737134821	164.1083305563281	0.012808570435043506	0.4123670156691576	0.3817964114376116	0.18483821757004554	0.35280250681903	0.2421019023822119	0.23222663761056275	0.6432719191339881	0.4276944541332403	0.5396069088743299	170.20050361976706	9.416358812863617	171.0	13.0	5947997.0	0.0012248441521104667	130.89183705806892	0.1809559411890672	79.91018765391291	0.11570020843678736	341.71481418330416	188.7489135575911	5.793860269038747	10.148472921186542	0.00023179541326755307	4.572633972298187	-0.020064428190285456	0.4297236440260686	79.14427082211162	0.11549198465086315	61.819244392097	109.53226415751871	71.29253495197369	141.16022222513158	0.251857180762638	1.732801488592304	145.11363891382402	22.16271904789276	146.0	36.0	5173011.0	0.00028064381715077366	718.9495109651053	0.22814508727127264	465.7551524459028	0.059982866808214914	295.18226220212154	1144.0710988184962	7.055307907014407	12.266513394754925	8.087459960327996e-05	5.789679684290272	-0.046629204003884775	0.665342704094532
