label_id	edu3to4at6dpf	edu4to5at6dpf	edu5to6at6dpf	edu42to48	label_id_nucleus	shape_volume_in_microns_nucleus	shape_extent_nucleus	shape_equiv_diameter_nucleus	shape_major_axis_nucleus	shape_minor_axis_nucleus	shape_surface_area_nucleus	shape_sphericity_nucleus	shape_max_radius_nucleus	intensity_mean_nucleus	intensity_st_dev_nucleus	intensity_median_nucleus	intensity_iqr_nucleus	intensity_total_nucleus	intensity_mean_25_nucleus	intensity_st_dev_25_nucleus	intensity_median_25_nucleus	intensity_iqr_25_nucleus	intensity_total_25_nucleus	intensity_mean_50_nucleus	intensity_st_dev_50_nucleus	intensity_median_50_nucleus	intensity_iqr_50_nucleus	intensity_total_50_nucleus	intensity_mean_75_nucleus	intensity_st_dev_75_nucleus	intensity_median_75_nucleus	intensity_iqr_75_nucleus	intensity_total_75_nucleus	intensity_mean_100_nucleus	intensity_st_dev_100_nucleus	intensity_median_100_nucleus	intensity_iqr_100_nucleus	intensity_total_100_nucleus	texture_hara1_nucleus	texture_hara2_nucleus	texture_hara3_nucleus	texture_hara4_nucleus	texture_hara5_nucleus	texture_hara6_nucleus	texture_hara7_nucleus	texture_hara8_nucleus	texture_hara9_nucleus	texture_hara10_nucleus	texture_hara11_nucleus	texture_hara12_nucleus	texture_hara13_nucleus	shape_volume_in_microns_het_nucleus	shape_extent_het_nucleus	shape_equiv_diameter_het_nucleus	shape_major_axis_het_nucleus	shape_minor_axis_het_nucleus	shape_surface_area_het_nucleus	shape_sphericity_het_nucleus	shape_max_radius_het_nucleus	shape_edt_mean_het_nucleus	shape_edt_stdev_het_nucleus	shape_edt_median_het_nucleus	shape_edt_iqr_het_nucleus	shape_percent_25_het_nucleus	shape_percent_50_het_nucleus	shape_percent_75_het_nucleus	shape_percent_100_het_nucleus	intensity_mean_het_nucleus	intensity_st_dev_het_nucleus	intensity_median_het_nucleus	intensity_iqr_het_nucleus	intensity_total_het_nucleus	texture_hara1_het_nucleus	texture_hara2_het_nucleus	texture_hara3_het_nucleus	texture_hara4_het_nucleus	texture_hara5_het_nucleus	texture_hara6_het_nucleus	texture_hara7_het_nucleus	texture_hara8_het_nucleus	texture_hara9_het_nucleus	texture_hara10_het_nucleus	texture_hara11_het_nucleus	texture_hara12_het_nucleus	texture_hara13_het_nucleus	shape_volume_in_microns_eu_nucleus	shape_extent_eu_nucleus	shape_equiv_diameter_eu_nucleus	shape_major_axis_eu_nucleus	shape_minor_axis_eu_nucleus	shape_surface_area_eu_nucleus	shape_sphericity_eu_nucleus	shape_max_radius_eu_nucleus	shape_edt_mean_eu_nucleus	shape_edt_stdev_eu_nucleus	shape_edt_median_eu_nucleus	shape_edt_iqr_eu_nucleus	shape_percent_25_eu_nucleus	shape_percent_50_eu_nucleus	shape_percent_75_eu_nucleus	shape_percent_100_eu_nucleus	intensity_mean_eu_nucleus	intensity_st_dev_eu_nucleus	intensity_median_eu_nucleus	intensity_iqr_eu_nucleus	intensity_total_eu_nucleus	texture_hara1_eu_nucleus	texture_hara2_eu_nucleus	texture_hara3_eu_nucleus	texture_hara4_eu_nucleus	texture_hara5_eu_nucleus	texture_hara6_eu_nucleus	texture_hara7_eu_nucleus	texture_hara8_eu_nucleus	texture_hara9_eu_nucleus	texture_hara10_eu_nucleus	texture_hara11_eu_nucleus	texture_hara12_eu_nucleus	texture_hara13_eu_nucleus	shape_volume_in_microns_cell	shape_extent_cell	shape_equiv_diameter_cell	shape_major_axis_cell	shape_minor_axis_cell	shape_surface_area_cell	shape_sphericity_cell	shape_max_radius_cell	intensity_mean_cell	intensity_st_dev_cell	intensity_median_cell	intensity_iqr_cell	intensity_total_cell	texture_hara1_cell	texture_hara2_cell	texture_hara3_cell	texture_hara4_cell	texture_hara5_cell	texture_hara6_cell	texture_hara7_cell	texture_hara8_cell	texture_hara9_cell	texture_hara10_cell	texture_hara11_cell	texture_hara12_cell	texture_hara13_cell	clustering
3802.0	0.8951889999999999	0.0017182131	0.0	0.9862542999999999	2505.0	69.74208	0.3941121157323689	59.26142629514492	89.97428004748001	68.19023482838385	99.43102978920746	0.5595982566451043	1.9539703170723959	171.4446795165835	11.914249643049883	168.0	16.0	18314235.0	169.51680813670868	11.121779681135518	167.0	10.0	9066776.0	175.90794270459568	11.694715154840242	176.0	20.0	6128105.0	168.95857487136064	12.115328837322615	164.0	20.0	2594021.0	166.93136320305052	12.320927998600517	162.0	22.0	525333.0	0.0012494790291796966	158.334421275162	0.4219940397369513	137.00315004294484	0.14524248869920184	344.2492331851001	389.6781788966104	6.2612974959987175	10.544034635016194	0.00023139177765022685	4.656325198198422	-0.05017421671970205	0.6341026454773646	33.3155872435188	0.1973319985742346	46.32117370516597	92.11531936321224	71.9906931149533	278.9384058768811	0.005783921304608457	0.5499801566856206	0.2476064137678569	0.2234020857087425	0.1477602583028796	0.342280782475966	0.6234696924455061	0.26596852580421204	0.5031124367786279	0.5293190416141236	162.4705611068409	8.780766596477966	164.0	7.0	8454968.0	0.004589995264046847	94.78597612649055	0.26692803482100275	65.4655812121813	0.24545140257116696	324.56369545516645	167.0763487222273	5.414442119991341	8.7977401806786	0.0005120539088871561	3.8630647631067414	-0.07566546162338107	0.7045602563310227	35.02233888823865	0.2129002630800604	47.0990462648016	86.09311963858484	63.58801067421808	190.64371048772284	0.020020513826188028	0.5250303330979879	0.33119861539106643	0.17659430296045334	0.3011280506890857	0.2279986639499593	0.3765303075544939	0.734031474195788	0.4968875632213721	0.4706809583858764	179.00162687822174	10.427956379444463	180.0	16.0	9792463.0	0.000836060776560292	170.91076309149432	0.16442095176137778	102.24539796530456	0.09687094013957782	360.31951822304677	238.0708287697232	5.9829343906758226	10.601983551600798	0.00018620378660766918	4.779270130995403	-0.013676794915985406	0.3652560915778337	102.52606045181308	0.16623201214957925	67.38997393248322	120.45233830693995	85.22492123432036	177.70632620884632	0.2118420876097496	2.078765546808436	151.40489961247104	23.023347555738788	150.0	36.0	7774793.0	0.0001908034510816184	726.0924352294452	0.3248084374260708	537.9708825882948	0.05462701327019612	309.9041881340208	1425.7910951237393	7.250132071640532	12.684399335932484	7.919075389089746e-05	5.799946960876445	-0.040802793966985856	0.639253070744105	1
3813.0	0.4367727	0.007757951999999999	0.030256012000000002	0.5019395000000001	2500.0	78.51136000000002	0.2437257613325704	61.64785469649269	126.28367075451864	62.46028262230424	132.8033078678989	0.29763958926278555	1.5420765220960988	167.05864732776288	7.479735495331672	166.0	11.0	20133407.0	166.3170401821637	7.841564308233563	166.0	8.0	9714412.0	169.32018458970518	6.743805665451884	170.0	11.0	6897935.0	164.7712039045553	6.712558685312118	163.0	10.0	3038381.0	164.79310344827587	6.2734060377921415	162.0	10.0	482679.0	0.002277729252564345	65.56964063391179	0.3692985448103657	52.008591391072024	0.1937593939597299	334.9466070386862	142.46472493038834	5.592128561247032	9.409679159930901	0.000374763035992046	4.063791553987292	-0.042756670860565706	0.5639949100086479	40.50494244614593	0.1284179846068912	49.43862733511053	124.23922402274331	63.25134978971499	371.5196754412252	0.003618453169587044	0.5499810881900303	0.2834111332612916	0.2218554377966042	0.19793308895304765	0.3611885667800285	0.5940769141780562	0.33740901775204785	0.6160685418687358	0.5915944818735964	162.21299193930773	6.621938289365858	163.0	6.0	10263216.0	0.0065052608340880926	50.26536970176126	0.30196214635520763	36.46006469746696	0.291860689857576	323.9640233658328	95.57488908810438	5.141968730387796	8.342538397766706	0.0006387433957160171	3.593676716685728	-0.07046962823585654	0.6690702238643712	38.759139094626406	0.12405335628227195	48.71788638606606	127.33323702841386	61.44090253514762	292.6996804611558	0.006775383351877282	0.4381891903145132	0.31301541539365163	0.17344246645335348	0.2878472648123786	0.21733144880706715	0.4059230858219439	0.6625909822479521	0.38393145813126417	0.4084055181264036	171.2794047206118	6.693713518399526	172.0	8.0	10369769.0	0.002762015609796011	62.78583120424289	0.1694796798331682	37.78942915727245	0.16482144042142582	344.14313910316866	88.371885424847	5.2248149372129085	9.072393826331233	0.0003624171775255247	4.051511197298901	-0.01217580174965555	0.3211779926801245	216.4349480838702	0.054049031919958836	86.44893773813381	254.1611335545681	89.11479075589789	390.7565642200666	0.08879495735287518	2.1000363842553504	157.5702701323523	17.508362831004145	161.0	26.0	33966005.0	0.000629005239785703	426.4226242454875	0.2968218496917998	302.8961822264674	0.09290296057347926	317.18027864517387	785.1621046603788	6.668983216081908	11.601319517994533	0.00012567065818799944	5.387616185079152	-0.021841503680972825	0.4675828506518239	2
3836.0	0.4120735	0.007874016	0.0	0.71784776	2574.0	80.46400000000001	0.3817066210045662	62.154752389222935	101.39735657323077	68.04129822562784	115.12969124838092	0.4798368418933456	1.9539703170723959	170.8558665826193	16.43937991914485	171.0	25.0	21954808.0	170.01506344907338	16.755757532090293	168.0	24.0	11173730.0	173.33378962025918	15.990432972483488	175.0	27.0	7344326.0	168.7241359480131	15.773341509752028	170.0	29.0	2933944.0	166.65826980444152	14.972017609264881	167.0	28.0	502808.0	0.0004230389906099881	337.18028757761766	0.34629119170690803	258.00088391773653	0.0915857361020626	343.8238800464	694.823248093322	6.707729091420887	11.614594689909355	0.00013750748069184983	5.215820053883623	-0.03415174827684027	0.5565012466374394	33.82966135106195	0.16215876172239407	46.558210660702564	104.50345008159664	73.86159315158997	350.89339690234567	0.002995863948940778	0.4000617474529177	0.2385575416510489	0.21635971127379766	0.1265029948488777	0.34634046787550354	0.4865485564304462	0.27520643952536256	0.3996626370536969	0.3826224328593997	156.68230418409254	12.76729023979008	158.0	10.0	8279563.0	0.0016354335168048556	209.3786438909228	0.2507253070661703	142.49428461398458	0.1707719519254161	312.2135745692865	360.5984945650013	6.124897116330353	10.333434358908175	0.00027047622697375096	4.66381682570945	-0.07064334304826972	0.7237736311597789	50.18848534863374	0.25003827311696264	53.10047760591584	100.3908882239933	65.82924615294138	247.8716932867186	0.01870594922229003	0.5261834434416585	0.3150136332807575	0.17926997307226114	0.2749756768514388	0.2348639244620477	0.5134514435695539	0.7247935604746374	0.6003373629463029	0.6173775671406003	179.33894586458493	12.98985596960982	181.0	18.0	14059456.0	0.0006180914964865862	269.5783450060831	0.1397018284195706	156.559558959546	0.08163349212915222	360.61079794155677	356.6598908320985	6.239484005117272	11.095492525878482	0.0001486516742547972	5.082002594853141	-0.012705531629611204	0.3606896393377345	135.7084316534879	0.08519214703425229	73.99223439523203	181.3871153232529	84.70755006542805	235.7165813509654	0.15903606995669642	2.181889331625793	150.42482161060144	23.02061586186579	149.0	36.0	12985874.0	0.00019323214847081466	701.8202033414963	0.3459059596938036	536.3192957499884	0.05697941941668092	305.7999157128238	1443.4569796584703	7.256757070352415	12.721418967206914	8.213012333145029e-05	5.774059353376588	-0.03621396525122771	0.6082987330457013	3
3855.0	0.5981269	0.1302682	0.41507024	0.35078758	2874.0	164.26368000000005	0.3765984326372983	78.84744967294628	158.33738280750003	74.74399466211425	211.01959205372623	0.3247634395276284	1.9743353311937664	170.74413820511023	7.625977037266868	170.0	10.0	43823532.0	171.0189088935131	8.136445864208778	171.0	8.0	20792992.0	171.93471405634548	6.898501959195802	172.0	11.0	14884904.0	167.89631270544518	6.7723724824598674	167.0	10.0	7048623.0	168.15036787247087	6.955070502109759	168.0	11.0	1097013.0	0.002129154673544624	68.88301587523279	0.3635670824784233	54.14947658517654	0.18506944380471296	342.08612283354336	147.7148904654672	5.633694708589027	9.51632107072668	0.0003472344250004505	4.082623290124788	-0.04299361346611055	0.5708248004633616	68.43395491896975	0.1629432710599483	58.88268574060059	156.7214611136849	75.49771038313817	691.9284794849127	0.0015988658742142714	0.4543660767298661	0.2984176382621073	0.22688191954116385	0.2497917919988046	0.3905457853454657	0.4409284262664659	0.33257824418658405	0.5118365016297495	0.4624463519313305	164.97624794192487	7.175941166064018	166.0	6.0	17635301.0	0.00631375274511869	54.78714535175556	0.3012633079941958	39.8528390500357	0.2908884262661192	329.4413822187408	104.62421084839464	5.1750658061119506	8.338651115685735	0.0006477206362617999	3.5394685466749136	-0.08365853571936333	0.7145842333212908	95.85081385999464	0.22960679671205986	65.88132612610242	159.1636455252832	73.46234448080166	578.741201934935	0.005360320745206199	0.5713591374954614	0.3051379868787211	0.18678820306759314	0.2665107068459492	0.2599607602635905	0.5590715737335341	0.6674217558134159	0.4881634983702505	0.5375536480686696	174.2296322517733	6.943289417385834	175.0	9.0	26086009.0	0.0024257143913959693	67.90757049322903	0.19807003174726967	42.34488273148683	0.1605870518593743	349.9110058467638	101.47196043271778	5.342590622202993	9.276882887531931	0.00033118879961163987	4.091825091250796	-0.012870140321167057	0.33092929073736943	384.0045470647592	0.20724803728197394	104.6556438921372	240.3472438835276	96.49971172329569	459.9244906231189	0.17142158219886175	2.9545864655294345	163.12579466830925	17.357978449597926	170.0	27.0	56938243.0	0.0010625585435109714	401.85039672018854	0.3078054767829025	290.3891941626204	0.11388386907221602	328.74332624569155	759.706379930285	6.590657971741173	11.275130471999828	0.00015106807687738052	5.2800957896499	-0.02410503857173382	0.4759713348050633	2
3856.0	0.24531516	0.0	0.0	1.0	2585.0	72.76032000000002	0.3737278106508876	60.10427109869711	93.39384090221458	72.35771279863611	103.42239664713043	0.5412498405613791	1.916768113257313	170.9295967912181	13.560460762593715	168.0	19.0	19432644.0	167.8078701637237	13.046121262187974	166.0	11.0	9398751.0	177.04020114386762	12.834362923102598	178.0	22.0	6407616.0	168.31317482196187	12.782766030078509	164.0	22.0	2930669.0	170.7432498772705	11.612794893816815	171.0	22.0	695608.0	0.0008958079018289324	204.2333646066844	0.4127857704085919	173.99312419720417	0.12840191174931884	343.7121383780308	491.7391321821387	6.442966166582591	10.923257768960418	0.0001943363435308215	4.849888353231992	-0.04490904235988888	0.6116962678452499	33.28741879926986	0.17897501385442016	46.30811511991885	98.125725646791	77.09736882454119	293.49034061093	0.004957139911810372	0.4079238436577047	0.2451001041811165	0.2223282335242973	0.13999867786300588	0.32710108178833386	0.6149270361584358	0.2208631115997801	0.4831409041300477	0.3267156862745098	160.29367643664895	10.698250549893737	162.0	7.0	8334630.0	0.0036970834920477358	145.82773639789997	0.2878614622005537	103.82583905007186	0.2283126302425149	319.97085143231465	269.47561980238584	5.6467366608063925	9.193195454898122	0.00043346009293763777	4.118068337280663	-0.07476984798238437	0.7083452155860451	39.38268601959158	0.22484283625730994	48.97775133357746	88.93637766346123	67.76291164635863	214.18956824275142	0.01785122785108669	0.4931781263441157	0.3487329622853245	0.1883896368564565	0.3157971210243678	0.2467466757875353	0.38507296384156425	0.7791368884002199	0.5168590958699524	0.6732843137254902	178.9603036559	11.701374656689437	180.0	18.0	11009101.0	0.0006925182982036016	207.01347112988083	0.17530629728574842	125.4485854483758	0.09035144904159964	360.6188320788957	294.78087066362565	6.1365246133289295	10.869490596914877	0.00016574085605209268	4.914172211394712	-0.015629855970261782	0.392948530388759	100.8120143602008	0.3611447274327521	67.01231622983214	106.29099216741345	82.94443582180321	135.41235835471753	0.4629158521678034	2.085318345896984	156.00109437822658	22.0769994245466	156.0	36.0	6557194.0	0.00020604709302924452	668.4606075513882	0.3059054064428024	481.71640797268884	0.054750415421533735	317.8217124325484	1258.405024339352	7.1698160726177775	12.553856460114556	8.273669583525e-05	5.739737880032897	-0.04321414912306113	0.6509068565364408	10
3857.0	0.97619045	0.07460318	0.036507938	0.49206350000000004	2586.0	78.08192000000003	0.4001147842056933	61.53524903434624	95.78823867867096	70.9718885193552	108.58288864893412	0.5386034959791621	1.840108692441835	171.91546109521897	11.248453621447178	170.0	15.0	20974202.0	169.72983216025992	11.41659208067309	168.0	9.0	9718221.0	176.45265161257137	10.262514558929386	177.0	17.0	6860832.0	170.16126971647586	10.31836759293046	167.0	16.0	3462952.0	169.09069472156722	9.82008156431715	166.0	16.0	932197.0	0.0012241429345191794	144.47717059664586	0.3834227400651881	117.13420770109056	0.14163875291408318	345.2200218831996	324.0596602077119	6.138842020163499	10.410604593384534	0.0002371789962060169	4.609171910236372	-0.03965889009607024	0.5725187249713791	34.299562216487445	0.183870768470472	46.772787865915824	100.43095846272408	74.70113822126099	320.3187516970905	0.004048390875691288	0.4099256835500241	0.2638703287907481	0.23867623093893905	0.15676203654344836	0.365298433272248	0.601312119564264	0.2030422940541652	0.4387363448479481	0.4525547445255474	162.9989921048211	10.480524135106464	165.0	6.0	8732997.0	0.0046383294693862044	135.99175088180635	0.31855451755305786	100.90090727964844	0.244740074400344	325.63001987970256	267.6118782367904	5.492878174381423	8.833716092815783	0.0005056468827189168	3.942862710753902	-0.07362062740739149	0.6971512879199293	43.62907899011925	0.2338838096806963	50.678343705747004	91.4158320847605	67.41216115809279	237.6871203973353	0.016031993061956032	0.5000493993347879	0.3562163889570359	0.19218312950990693	0.3260811105422	0.2581597922456901	0.3986878804357361	0.7969577059458348	0.561263655152052	0.5474452554744526	177.78149669845928	10.179216715067401	178.0	14.0	12115809.0	0.0009252210475430504	152.8034489759824	0.1574409745074947	90.662908848515	0.10055532640817297	357.8796255364676	209.84818641807271	5.882353465778213	10.409207011262113	0.000200068772811931	4.6991382183286134	-0.01133986833078228	0.33011300295419865	105.77564615517204	0.2446200284090909	68.09456147298256	106.96427670385117	80.32620037705918	147.4961141873284	0.3943501503808981	2.189540797297312	157.55299421788638	20.179195754559696	158.0	34.0	6185373.0	0.0002805799758547297	571.2994028897917	0.2981704641830033	406.6252115024158	0.06211214485651709	320.13674092607073	1055.2014431198734	7.003499847158451	12.19028276438774	9.357927030821912e-05	5.620712368311835	-0.03999872699026955	0.6252062089276177	10
3858.0	0.48148149999999995	0.0	0.0	0.66851854	2593.0	71.55264000000003	0.3514870472837022	59.769876058608475	89.83641083142894	72.68929980016209	106.75780348460457	0.4758880599935693	1.8915602025841	171.50420837022924	11.402184244565374	169.0	16.0	19174342.0	170.2588139281828	11.70022697747626	168.0	12.0	9388071.0	174.19450890485646	10.913435678089604	173.0	18.0	6230415.0	170.11232668343766	10.451992847974427	167.0	17.0	2907730.0	170.51460142067876	11.217838234921427	168.0	20.0	648126.0	0.0011941443626636268	158.57767988298204	0.34576376259459096	121.26317066942872	0.134158648291339	344.3933219244391	326.4750027947481	6.137328271877746	10.43062150309588	0.00021962686912786609	4.685005143875904	-0.033092100055825316	0.5264660339429849	32.04288571699852	0.1644878241151533	45.7236548593737	93.27710146713899	75.04432298520844	323.0589995415257	0.00344405504304722	0.41236922430793976	0.256776608127083	0.2217474882566791	0.1613936549559672	0.3531030280734493	0.5446910617876425	0.3101640075867455	0.43949230859215066	0.3825309129176532	162.69102133780868	9.595216620301708	164.0	6.0	8143011.0	0.00473091825334466	115.87987370321308	0.2961207665874178	82.71182675424055	0.239679603987532	325.02554243880905	214.96743331374847	5.420636658356437	8.8105198639952	0.0004932390313560318	3.9784514032938163	-0.061005091271133786	0.6497217963737971	39.50560286722332	0.20606758832565286	49.028653045814934	86.2454537218202	70.34533329519334	240.80733863649053	0.012640393876606093	0.4543660767298661	0.3328054356457452	0.1938076110609083	0.2931970414413745	0.2634520753238839	0.4553089382123575	0.6898359924132544	0.5605076914078493	0.6174690870823467	177.68604255457058	10.116969241154212	178.0	15.0	10964828.0	0.0008517308716596143	166.65867572397642	0.14133768353770845	97.01581487763123	0.09547201090881896	357.4546945853227	221.40458378653588	5.920474776298084	10.487019824004404	0.00018874764924911832	4.758307286391862	-0.011522048727695305	0.33374898954795196	94.28149235307636	0.2243316891974181	65.53289407814982	101.86504330497576	81.74818377207994	138.8649878418683	0.3754282841050544	2.1073783731819327	156.7396276276276	19.34120503571872	158.0	31.0	6524287.0	0.00028727199018093667	525.0105366425834	0.30464164635075874	377.599273092829	0.06524509855959314	317.89803819816103	985.3865557287421	6.964562167203642	12.149870875886743	9.982565108590566e-05	5.567951465509836	-0.03773280695925179	0.6086142216487598	10
3859.0	0.33142856	0.0	0.0	0.89	2595.0	78.06784	0.386759968547078	61.531550062847224	93.27872800475187	67.99432422341546	112.35199159752436	0.4860202609523329	1.99047732968753	172.08691517531418	13.879474963492813	170.0	20.0	20991334.0	170.5826637059284	14.661473052227045	168.0	17.0	10677963.0	174.89185902146096	13.073655828028645	174.0	22.0	6902457.0	171.29462738301558	11.987491954779685	169.0	21.0	2866273.0	171.05559045226133	11.571347938710634	170.0	21.0	544641.0	0.0007862155337303242	226.6291527569588	0.3646970089174258	178.63237323176426	0.1155841426239382	346.0695521860218	487.9003401700902	6.422109746770714	10.92605235679764	0.00018055666835201824	4.926705493773934	-0.035050555488229766	0.5476713597999031	33.779726381711555	0.1719088018349102	46.53529164461333	97.9062127874818	73.30284567589506	346.86515877482634	0.00309230691553535	0.4099240171978473	0.2347837355141421	0.21149950050243704	0.129940458335577	0.32885052262211745	0.5197117027555997	0.2906008626742903	0.3796398811258085	0.3630880579010857	160.6711645977447	11.454294390390015	163.0	7.0	8477814.0	0.0034837896742562053	167.80058981275133	0.30031971097069154	122.4224799233245	0.20989914542101806	320.76043142448856	321.8893298805488	5.725338197343946	9.407762532064163	0.00038446761818233913	4.297959304800689	-0.060361966475788474	0.6567597293655749	46.07205133680005	0.2431497361254705	51.60711492923308	90.1997755705782	64.74429831186664	252.63798103663856	0.014887834980333416	0.4423284525054888	0.3237252729972501	0.18601882704994432	0.28269949360462715	0.24496663172440394	0.4802882972444002	0.7093991373257097	0.6203601188741915	0.6369119420989143	179.18508740238445	11.816397482995605	180.0	17.0	12895234.0	0.0007438604146507997	213.083602349645	0.16163124342657625	127.01005706154406	0.09283422915140778	360.8040003558837	294.95662589651835	6.086503492498957	10.69519355244982	0.0001684508727912582	4.9178619303186535	-0.01397604541652874	0.3685637684176636	116.42205412994923	0.15018140881524691	70.30652253092659	111.38551115613113	84.18502955629417	164.59605233858102	0.3437673639966384	2.1322424541271	157.97304718427304	20.11218509958309	158.0	32.0	9377754.0	0.0002480386659947858	524.7446854717051	0.3253887307176738	389.19621169410703	0.06482034125204332	321.4228678325434	1032.0401613047143	7.028169553904817	12.295874325673099	9.927716427341528e-05	5.572956885326216	-0.03745046977640777	0.6105751058970529	3
3876.0	0.5352349000000001	0.065436244	0.0	1.0	2323.0	68.58624	0.3407547313797314	58.93221973771964	100.31744603134831	61.473015414926	104.92895387153892	0.460511345294072	1.7870646322950945	169.82454323199522	14.228549330738169	166.0	22.0	18199417.0	166.92575868751294	13.531923810373867	163.0	16.0	8872271.0	176.09529442312686	13.762855110570802	177.0	23.0	6103639.0	166.9954062946179	13.338084732016187	163.0	21.0	2690129.0	164.36918335901387	12.375577598833365	159.0	18.0	533378.0	0.0007153236927531942	235.70279540311515	0.4010300092827697	196.69921433656668	0.11128544237885983	341.619948577256	551.0940619431427	6.5276174878977065	11.149574632255122	0.00016526367127273298	4.974725812084966	-0.03737136436474407	0.5706120513040964	29.04614736406017	0.1560749914000688	44.25135528657039	103.81463639139321	64.24943865354875	292.57607697615816	0.003809895021460981	0.4903785665749658	0.2618536774312607	0.2400787513971321	0.1418585421998107	0.3783736762154374	0.5623343224530168	0.21455273305271835	0.4841568377430666	0.6098787341023366	159.88413303652112	7.814268419496398	160.0	7.0	7254103.0	0.0035147922305562664	74.03916779414226	0.2763351394458636	51.42987567338928	0.21330814000150705	318.5418372726341	131.68033489941556	5.455431736170686	9.091966543205974	0.0004045084156176811	4.022564808122389	-0.04864512845209163	0.6013688291344642	37.270692892835854	0.20994590695997115	48.08609976683407	96.64161081945757	57.86435087694161	197.9894880428936	0.020242349030060964	0.4771418450009565	0.3273196058009587	0.17185812770166412	0.2937459650721085	0.23181598522624364	0.4376656775469832	0.7854472669472816	0.5158431622569334	0.3901212658976633	178.53986739496375	12.00700893467042	179.0	18.0	10394234.0	0.000586347867412671	230.04635156842826	0.18593295570678875	141.22372624732088	0.08324465802962923	359.2212526069907	334.8485534208448	6.229261408791138	11.056492580947943	0.00015084769107031796	4.9921084633477015	-0.015185722170769475	0.3903123993012272	104.4230916804918	0.228451051202374	67.80307350432804	115.57564689502058	75.48424891924383	157.34261413327718	0.3165967001718847	2.049739117404742	150.46836591309298	20.8853065515828	150.0	31.0	8459482.0	0.0002111858703112156	633.2625727624702	0.2852151408736296	443.33225886626013	0.053764938224526417	305.4136699836735	1140.0664627025749	7.097579695970737	12.52966988092609	8.557846065630077e-05	5.7082212366886305	-0.033542962911193394	0.5882655251103899	3
3877.0	0.6165803000000001	0.14853196	0.0	0.9948186	2661.0	65.12704000000001	0.495911306042885	57.9243160641197	91.13923101153446	71.85342376817471	91.42354899889641	0.627770386056077	1.8141664752717703	169.08417342758457	16.283683237149337	165.0	27.0	16839431.0	168.5644527915315	15.126599490116833	162.0	22.0	7898256.0	173.36193397884514	16.891779255843186	175.0	31.0	5425015.0	163.46405913150602	16.033579980889698	159.0	29.0	2653839.0	165.57622887864824	16.521873373111728	166.0	32.0	862321.0	0.000492586158508924	328.7735045037043	0.3934405305217992	270.65407493949704	0.1013002704419554	339.61480405094613	753.842795254272	6.737564574814835	11.520272082476714	0.00014185220228579267	5.188914762597737	-0.04113448237356858	0.5981865563264779	30.234343557833643	0.24293974217841746	44.84670902456564	91.46090737318724	72.38722586548363	274.2048153077441	0.005014506856026663	0.4733071379807249	0.2931966042421029	0.23980437078522404	0.204908131498545	0.4191155725304162	0.5452731836025484	0.33147300432683263	0.5600666378725242	0.4384646628757108	155.8072500899909	10.342071514542754	156.0	10.0	7358309.0	0.0020838534489068783	132.1817843333505	0.27718305681484	92.35759891904476	0.18775128712519265	309.38077713047613	237.24861134283017	5.904060181134187	9.886237887417158	0.0003230049394442166	4.385861332552923	-0.06916645505117783	0.7051768934095282	33.55565921154953	0.280913027633074	46.43217090350549	89.0836060944703	69.56319240965404	196.68849189449813	0.01673582293769836	0.4099240171978473	0.3382639840540843	0.19868171836525506	0.29139472627719754	0.2481491800401367	0.4547268163974516	0.6685269956731673	0.4399333621274758	0.5615353371242892	179.96071735190307	13.521914277776112	182.0	21.0	9432641.0	0.0005311157716890049	299.45576670264336	0.14340320681240518	174.69654560759088	0.07542574160575788	362.2751426690674	399.3304157277319	6.322483784826879	11.222998816690593	0.00013359967197755328	5.173884948611418	-0.014607696556136947	0.3883323531927578	100.20611602173244	0.1945906389153944	66.87779434407594	109.04531860570349	80.95383906009708	139.36050250560905	0.41958670724148095	2.056777330963747	155.271048798252	25.20811958333463	155.0	42.0	8527486.0	0.00017221339975364555	825.5138322121828	0.3368599840281178	623.6542887923995	0.05255377152167146	316.6414100739329	1669.1033229574093	7.359887325860945	12.847095782212527	7.295823925506899e-05	5.8874591550729525	-0.04302854722822407	0.654566236539459	3
